Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
55808268,Thợ xăm ở Auschwitz,Heather   Morris,"Morris, Heather",Lan Huế,"=""""","=""""",5,4.32,NXB Văn học & Nhã Nam,Paperback,384,2020,2018,2022/10/12,2022/10/12,history,history (#9),read,"Lâu lắm rồi mới có một quyển sách khiến mình đọc liền tù tì từ đầu đến cuối trong một đêm như thế này.<br/><br/>Có những người sinh ra đã là của nhau, dù cho thời cuộc biến động, dù cho thế giới đổi thay, dù cho có lúc số phận như vuột khỏi tay mình, dù cho có khi niềm tin bị bóp nghẹt rồi vụt tan thành tro bụi, thì rồi họ vẫn sẽ tìm thấy nhau.<br/><br/>Vì họ sinh ra đã là của nhau.",,,1,1
22589906,Freediving Manual: Learn How to Freedive 100 Feet on a Single Breath (Spearfishing and Freediving Book 2),Mike McGuire,"McGuire, Mike",,"=""""","=""""",5,3.60,,Kindle Edition,104,2014,2014,2022/09/10,2022/09/02,,,read,,,,1,0
29589171,Scuba Fundamental: Start Diving the Right Way (The Scuba Series Book 1),Simon Pridmore,"Pridmore, Simon",,"=""""","=""""",5,4.37,Sandsmedia Publishing,Kindle Edition,200,2016,,2022/08/28,2022/08/14,,,read,,,,1,0
39924789,Rich Dad Poor Dad: What the Rich Teach Their Kids About Money That the Poor and Middle Class Do Not!,Robert T. Kiyosaki,"Kiyosaki, Robert T.",,"=""161268016X""","=""9781612680163""",0,4.10,Plata Publishing,Kindle Edition,336,2017,1997,,2022/01/22,currently-reading,currently-reading (#5),currently-reading,,,,1,0
16464990,"Bên Thắng Cuộc - Giải Phóng (Bên Thắng Cuộc, #1)",Huy Đức,"Đức, Huy",,"=""1467557900""","=""9781467557900""",5,4.11,"CreateSpace Independent Publishing Platform; 1st edition (May 29, 2013)",Paperback,432,2012,2012,2022/01/18,2022/01/02,,,read,,,,1,0
40961427,1984,George Orwell,"Orwell, George",,"=""""","=""""",0,4.20,Houghton Mifflin Harcourt,ebook,298,2013,1949,,2021/12/29,currently-reading,currently-reading (#4),currently-reading,,,,1,0
29228505,The Black Death: A History From Beginning to End (Pandemic History),Henry Freeman,"Freeman, Henry",Hourly History,"=""""","=""""",0,3.86,Hourly History,Kindle Edition,42,2016,2016,,2021/11/23,unfinished-books,unfinished-books (#6),unfinished-books,,,,0,0
12009048,Kafka bên bờ biển,Haruki Murakami,"Murakami, Haruki",Dương Tường,"=""6043237091""","=""9786043237092""",0,4.12,Nhã Nam & NXB Văn học,Paperback,540,2012,2002,2021/12/28,2021/12/07,,,read,,,,1,0
35842289,Trại Súc Vật,George Orwell,"Orwell, George",Phạm Nguyên Trường,"=""""","=""""",5,4.01,,Kindle Edition,89,2017,1945,,2021/12/08,,,read,,,,1,0
23276781,Cà Phê Cùng Tony,Tony Buổi Sáng,"Sáng, Tony Buổi",,"=""""","=""""",0,4.15,NXB Văn hóa thông tin,Paperback,250,2014,2014,2021/05/22,2021/12/10,self-help,self-help (#6),read,,,,1,0
